month,agemths,outcometype,agemths,sex,speutered,breed,black,unpopular
3,5,0,5,1,1.0,German Shepherd Mix,0,1
10,72,4,72,0,0.0,Pit Bull/Labrador Retriever,0,1
7,12,2,12,1,0.0,Domestic Shorthair Mix,0,0
10,3,0,3,1,1.0,Domestic Shorthair Mix,0,0
6,0,2,0,1,0.0,Domestic Shorthair Mix,0,0
5,24,0,24,0,1.0,Blue Lacy Mix,0,0
11,2,0,2,1,1.0,Domestic Shorthair Mix,0,0
10,0,2,0,0,0.0,Domestic Shorthair Mix,1,0
8,2,0,2,1,1.0,Domestic Shorthair Mix,0,0
7,12,2,12,0,0.0,Chihuahua Shorthair Mix,0,1
9,48,1,48,1,1.0,Black Mouth Cur Mix,0,0
7,24,0,24,0,1.0,Dachshund/Beagle,0,0
8,12,2,12,0,0.0,Domestic Shorthair Mix,0,0
5,132,4,132,1,1.0,Yorkshire Terrier Mix,0,0
10,1,2,1,1,0.0,Domestic Shorthair Mix,1,0
9,24,0,24,1,1.0,Dachshund Mix,0,0
7,0,2,0,2,Unknown,Domestic Shorthair Mix,1,0
10,72,1,72,1,1.0,Maltese Mix,0,0
12,6,2,6,0,1.0,Pointer Mix,0,0
9,2,2,2,1,0.0,English Foxhound,0,0
6,2,2,2,2,Unknown,Domestic Shorthair Mix,0,0
5,12,0,12,1,1.0,Chihuahua Shorthair Mix,0,1
4,2,0,2,0,1.0,Vizsla Mix,0,0
1,24,2,24,0,1.0,Pit Bull Mix,0,1
3,36,0,36,1,1.0,German Shepherd/Great Pyrenees,0,0
8,12,1,12,1,0.0,Domestic Shorthair Mix,1,0
12,48,1,48,1,1.0,Yorkshire Terrier Mix,0,0
8,24,2,24,1,1.0,Cardigan Welsh Corgi/Chihuahua Shorthair,0,0
6,3,0,3,1,1.0,Domestic Longhair,0,0
3,12,4,12,1,0.0,Domestic Shorthair Mix,0,0
6,2,0,2,0,1.0,Chow Chow/Pit Bull,1,0
12,24,2,24,1,1.0,Domestic Shorthair Mix,0,0
12,12,0,12,0,1.0,Chihuahua Shorthair,0,0
9,0,4,0,2,Unknown,Domestic Shorthair Mix,0,0
5,0,2,0,2,Unknown,Siamese Mix,0,0
10,24,2,24,0,0.0,Domestic Shorthair Mix,0,0
2,144,4,144,0,1.0,Pit Bull Mix,0,1
9,12,0,12,0,1.0,Dachshund/Beagle,0,0
7,2,0,2,0,1.0,Domestic Shorthair Mix,1,0
7,0,2,0,0,0.0,Domestic Shorthair Mix,1,0
4,3,2,3,1,0.0,Labrador Retriever Mix,0,0
11,3,0,3,1,1.0,Domestic Medium Hair Mix,0,0
12,5,0,5,0,1.0,Plott Hound Mix,0,0
2,36,0,36,1,1.0,Boxer/Great Dane,1,0
4,84,2,84,1,1.0,Lhasa Apso,0,0
2,24,4,24,1,1.0,German Shepherd Mix,0,1
12,4,0,4,1,1.0,Domestic Shorthair Mix,1,0
11,108,0,108,1,1.0,Beagle/Treeing Walker Coonhound,0,0
12,7,2,7,0,1.0,Border Collie Mix,0,0
7,2,0,2,0,1.0,Domestic Shorthair Mix,0,0
10,36,2,36,0,0.0,Domestic Shorthair Mix,0,0
1,36,0,36,0,1.0,Border Terrier Mix,0,0
5,60,0,60,0,1.0,Chihuahua Shorthair Mix,0,1
1,60,2,60,0,1.0,Boxer Mix,0,0
10,0,2,0,1,0.0,Domestic Medium Hair Mix,0,0
7,0,2,0,2,Unknown,Domestic Shorthair Mix,1,0
1,48,2,48,1,1.0,Domestic Shorthair Mix,0,0
4,48,1,48,0,1.0,Cairn Terrier Mix,0,0
7,2,0,2,0,1.0,Domestic Shorthair Mix,0,0
12,24,1,24,1,1.0,Chihuahua Shorthair Mix,0,1
3,24,0,24,0,1.0,Dogo Argentino Mix,0,0
3,108,1,108,0,1.0,Dachshund Mix,0,0
2,60,1,60,0,1.0,Beagle Mix,0,0
12,12,4,12,0,1.0,Chihuahua Shorthair/Dachshund,0,0
10,24,0,24,1,1.0,Pit Bull Mix,0,1
5,0,2,0,0,0.0,Domestic Shorthair Mix,0,0
7,5,2,5,0,0.0,Pit Bull Mix,0,1
1,72,4,72,0,0.0,Domestic Shorthair Mix,0,0
3,12,0,12,1,1.0,Chihuahua Shorthair Mix,0,1
11,3,2,3,0,0.0,Chihuahua Shorthair Mix,0,1
10,1,2,1,1,0.0,Domestic Longhair Mix,0,0
5,36,1,36,1,1.0,Chihuahua Shorthair Mix,0,1
4,60,1,60,0,1.0,Dachshund Mix,1,0
5,96,0,96,0,1.0,Miniature Schnauzer/Miniature Poodle,1,0
9,2,0,2,1,1.0,Labrador Retriever Mix,0,0
11,84,4,84,1,0.0,Domestic Shorthair Mix,0,0
10,2,0,2,1,0.0,Domestic Shorthair Mix,1,0
9,60,0,60,0,1.0,Pit Bull,1,1
1,12,0,12,0,1.0,Pit Bull Mix,0,1
8,3,2,3,0,0.0,Domestic Shorthair Mix,0,0
3,24,1,24,0,1.0,Chihuahua Shorthair Mix,0,1
1,108,1,108,1,1.0,Labrador Retriever Mix,0,0
10,36,0,36,1,1.0,Pit Bull Mix,0,1
10,36,1,36,1,1.0,Domestic Shorthair Mix,0,0
1,12,0,12,1,1.0,Chihuahua Shorthair/Jack Russell Terrier,0,0
1,24,2,24,1,1.0,Chihuahua Shorthair Mix,0,1
12,12,1,12,1,1.0,Pit Bull,0,1
6,24,2,24,0,1.0,Siamese Mix,0,0
5,24,1,24,1,1.0,Tibetan Terrier Mix,0,0
6,24,2,24,1,0.0,Domestic Shorthair Mix,0,0
10,3,2,3,2,Unknown,Domestic Shorthair Mix,0,0
11,1,0,1,1,1.0,Miniature Pinscher/Chihuahua Shorthair,0,0
8,2,0,2,0,1.0,Domestic Shorthair Mix,0,0
2,10,0,10,0,1.0,Domestic Medium Hair Mix,0,0
2,24,2,24,1,1.0,Domestic Medium Hair Mix,0,0
6,2,0,2,1,1.0,Domestic Medium Hair Mix,0,0
11,6,0,6,0,1.0,Labrador Retriever Mix,0,0
11,2,0,2,1,1.0,Domestic Shorthair Mix,0,0
9,12,0,12,1,1.0,Dachshund Mix,0,0
10,6,2,6,1,0.0,Dachshund Mix,0,0
6,12,0,12,1,1.0,Domestic Shorthair Mix,0,0
9,0,2,0,0,0.0,Domestic Shorthair Mix,0,0
2,24,0,24,0,1.0,Domestic Shorthair Mix,0,0
11,11,0,11,1,1.0,Blue Lacy Mix,0,0
3,3,2,3,0,1.0,Rat Terrier Mix,0,0
2,24,1,24,1,1.0,Dachshund Longhair,0,0
9,24,2,24,0,1.0,Pit Bull Mix,0,1
8,24,0,24,0,1.0,Pit Bull Mix,0,1
7,4,0,4,1,1.0,Domestic Longhair,0,0
8,4,2,4,1,0.0,Dachshund/Chihuahua Shorthair,0,0
9,5,2,5,1,0.0,Domestic Shorthair Mix,0,0
12,2,0,2,0,1.0,Domestic Shorthair Mix,0,0
7,84,2,84,0,1.0,Chihuahua Shorthair Mix,0,1
1,48,0,48,0,1.0,Domestic Shorthair Mix,0,0
9,0,2,0,1,0.0,Domestic Shorthair Mix,0,0
12,6,0,6,0,1.0,Border Collie Mix,0,0
8,5,0,5,1,0.0,Labrador Retriever Mix,0,0
1,96,1,96,1,1.0,Maltese,0,0
7,2,0,2,0,1.0,Domestic Shorthair Mix,1,0
7,1,0,1,1,1.0,Domestic Shorthair Mix,0,0
2,5,1,5,1,1.0,Labrador Retriever Mix,0,0
5,1,2,1,0,0.0,Domestic Shorthair Mix,0,0
10,4,2,4,0,0.0,Domestic Shorthair Mix,0,0
8,12,0,12,1,1.0,Chihuahua Shorthair Mix,0,1
8,24,0,24,0,1.0,Labrador Retriever/Rottweiler,0,0
11,132,2,132,1,1.0,Domestic Shorthair Mix,0,0
6,2,0,2,0,1.0,Dachshund/Manchester Terrier,0,0
9,2,2,2,0,1.0,Domestic Shorthair Mix,0,0
10,2,0,2,1,0.0,Domestic Shorthair Mix,0,0
4,1,0,1,1,1.0,Plott Hound/Labrador Retriever,0,0
5,84,1,84,1,1.0,Chihuahua Shorthair/Rat Terrier,0,0
5,0,2,0,0,0.0,Domestic Shorthair Mix,0,0
11,48,1,48,0,1.0,Siberian Husky,0,0
12,24,2,24,1,1.0,Australian Cattle Dog Mix,0,0
11,12,1,12,1,1.0,Pointer Mix,0,0
12,24,1,24,0,1.0,Pit Bull Mix,0,1
9,0,2,0,1,0.0,Domestic Medium Hair Mix,0,0
11,12,2,12,1,0.0,Domestic Shorthair Mix,0,0
5,24,0,24,1,1.0,Yorkshire Terrier/Miniature Poodle,0,0
10,10,2,10,0,0.0,Domestic Shorthair Mix,0,0
3,48,2,48,1,1.0,German Shepherd Mix,0,1
7,4,0,4,1,1.0,Domestic Shorthair Mix,0,0
5,72,2,72,1,1.0,Catahoula/Labrador Retriever,0,0
5,9,0,9,1,1.0,Miniature Poodle Mix,0,0
9,36,0,36,1,1.0,Jack Russell Terrier/Pit Bull,0,0
11,8,0,8,1,1.0,Domestic Shorthair Mix,0,0
5,10,0,10,1,1.0,Queensland Heeler/Shetland Sheepdog,0,0
9,12,2,12,0,1.0,Domestic Shorthair Mix,0,0
10,12,0,12,0,1.0,Catahoula Mix,0,0
7,12,0,12,0,1.0,Labrador Retriever Mix,0,0
7,3,0,3,0,1.0,Labrador Retriever Mix,0,0
11,72,1,72,0,0.0,Chihuahua Shorthair Mix,0,1
1,12,2,12,2,Unknown,Domestic Longhair Mix,1,0
4,24,1,24,0,1.0,American Pit Bull Terrier Mix,0,0
11,60,0,60,1,1.0,Dachshund Longhair Mix,0,0
5,144,4,144,0,1.0,Domestic Longhair Mix,0,0
4,24,0,24,1,1.0,German Shepherd Mix,0,1
10,72,0,72,0,1.0,Labrador Retriever Mix,0,0
6,3,0,3,0,1.0,Domestic Shorthair Mix,1,0
2,8,1,8,1,1.0,Doberman Pinsch Mix,0,0
12,12,2,12,0,1.0,Domestic Shorthair Mix,1,0
10,180,2,180,1,0.0,Domestic Shorthair Mix,1,0
10,0,2,0,1,0.0,Pointer Mix,0,0
11,5,0,5,0,1.0,Dachshund/Jack Russell Terrier,0,0
5,24,0,24,0,1.0,Miniature Poodle/Miniature Schnauzer,0,0
12,24,0,24,1,1.0,Whippet Mix,0,0
11,24,1,24,0,0.0,Australian Shepherd Mix,0,0
1,24,0,24,1,1.0,Labrador Retriever Mix,0,0
9,0,2,0,1,0.0,Domestic Shorthair Mix,0,0
5,12,2,12,1,1.0,Pit Bull Mix,0,1
3,24,2,24,0,0.0,Domestic Shorthair Mix,0,0
10,0,2,0,0,0.0,Domestic Shorthair Mix,0,0
4,48,2,48,0,1.0,Chihuahua Shorthair Mix,0,1
6,0,2,0,0,0.0,Domestic Shorthair Mix,0,0
5,2,0,2,0,0.0,Domestic Shorthair Mix,1,0
2,12,2,12,1,1.0,Rat Terrier Mix,0,0
5,2,0,2,1,1.0,English Pointer Mix,0,0
11,12,0,12,1,1.0,Miniature Schnauzer/Yorkshire Terrier,0,0
7,36,0,36,1,1.0,Cairn Terrier Mix,0,0
1,108,4,108,0,1.0,Labrador Retriever/Pit Bull,1,1
9,24,1,24,1,1.0,Domestic Shorthair Mix,0,0
12,60,2,60,1,1.0,Great Dane,0,0
11,24,1,24,0,0.0,Chihuahua Shorthair Mix,0,1
5,24,1,24,0,1.0,Chesa Bay Retr,0,0
11,84,1,84,0,1.0,German Shepherd,0,0
7,12,2,12,1,0.0,Domestic Shorthair Mix,0,0
11,72,0,72,1,1.0,Domestic Shorthair Mix,0,0
7,2,0,2,0,1.0,Domestic Shorthair Mix,0,0
5,12,1,12,1,1.0,Chihuahua Shorthair Mix,0,1
11,2,0,2,0,1.0,Domestic Shorthair Mix,0,0
11,72,1,72,1,1.0,Plott Hound Mix,0,0
5,2,2,2,0,0.0,Domestic Shorthair Mix,0,0
6,24,0,24,1,1.0,Chihuahua Shorthair Mix,0,1
8,84,0,84,0,1.0,Siamese Mix,0,0
12,3,0,3,1,1.0,Domestic Shorthair Mix,0,0
11,36,0,36,0,1.0,Chow Chow Mix,0,0
4,24,2,24,1,0.0,Domestic Shorthair Mix,1,0
12,84,0,84,1,1.0,English Pointer,0,0
5,1,4,1,0,0.0,Domestic Shorthair Mix,0,0
11,24,1,24,1,1.0,Pit Bull Mix,0,1
8,5,1,5,1,0.0,Boxer Mix,0,0
6,48,2,48,0,1.0,Basset Hound/Labrador Retriever,0,0
3,24,1,24,0,1.0,Labrador Retriever Mix,0,0
2,84,2,84,1,1.0,Airedale Terrier Mix,0,0
7,12,0,12,0,1.0,Labrador Retriever/Chow Chow,0,0
12,1,2,1,0,1.0,Domestic Shorthair Mix,0,0
1,1,0,1,0,1.0,Beagle/German Shepherd,0,0
9,2,0,2,0,1.0,Manx Mix,0,0
10,36,2,36,1,0.0,Domestic Shorthair Mix,0,0
7,48,2,48,1,1.0,Chihuahua Shorthair/Rat Terrier,0,0
10,12,0,12,1,1.0,Pit Bull Mix,0,1
8,24,0,24,1,1.0,Flat Coat Retriever Mix,0,0
5,120,2,120,1,1.0,Cocker Spaniel,0,0
10,2,0,2,0,1.0,Domestic Shorthair Mix,0,0
4,120,0,120,1,1.0,Chihuahua Shorthair Mix,0,1
7,24,0,24,1,1.0,Domestic Longhair Mix,0,0
7,84,1,84,1,1.0,Rat Terrier Mix,0,0
8,12,0,12,0,1.0,Border Terrier/Chihuahua Shorthair,0,0
9,60,2,60,0,1.0,Pit Bull Mix,0,1
3,72,1,72,1,1.0,Chihuahua Shorthair Mix,0,1
8,0,2,0,2,Unknown,Domestic Shorthair Mix,0,0
7,84,4,84,1,1.0,Pit Bull Mix,0,1
10,12,0,12,0,1.0,Chihuahua Longhair Mix,1,0
7,12,0,12,0,1.0,Jack Russell Terrier/Dachshund,0,0
5,0,2,0,1,0.0,Domestic Shorthair Mix,0,0
12,12,2,12,1,0.0,Domestic Shorthair Mix,0,0
12,60,1,60,0,1.0,German Shepherd,0,0
8,24,1,24,1,1.0,Rottweiler Mix,0,1
3,10,0,10,0,1.0,Siberian Husky Mix,0,0
5,3,2,3,1,0.0,Domestic Shorthair Mix,1,0
2,9,0,9,0,1.0,Cardigan Welsh Corgi/Cardigan Welsh Corgi,0,0
9,1,2,1,1,0.0,Domestic Shorthair Mix,0,0
4,0,2,0,2,Unknown,Domestic Shorthair Mix,0,0
11,60,2,60,1,1.0,Domestic Shorthair Mix,0,0
2,8,0,8,1,1.0,Chihuahua Shorthair Mix,0,1
4,12,2,12,0,0.0,Cairn Terrier Mix,0,0
10,2,0,2,1,1.0,Domestic Shorthair Mix,0,0
10,3,1,3,0,1.0,Domestic Shorthair,0,0
4,168,1,168,0,0.0,Chihuahua Shorthair Mix,0,1
3,84,1,84,0,1.0,Labrador Retriever Mix,0,0
1,24,0,24,0,1.0,Shih Tzu,0,0
11,6,2,6,1,1.0,Plott Hound Mix,0,0
1,11,0,11,0,1.0,Australian Shepherd Mix,0,0
2,36,0,36,0,1.0,Chihuahua Shorthair Mix,0,1
11,2,2,2,1,0.0,Domestic Longhair Mix,0,0
4,12,0,12,0,1.0,Labrador Retriever/Border Collie,0,0
9,0,4,0,1,0.0,Siamese Mix,0,0
3,48,4,48,0,1.0,Chihuahua Shorthair Mix,0,1
11,96,0,96,0,1.0,Domestic Medium Hair Mix,0,0
10,3,0,3,1,1.0,Domestic Shorthair Mix,0,0
11,2,0,2,1,1.0,Australian Cattle Dog Mix,0,0
8,4,0,4,1,1.0,Domestic Shorthair Mix,0,0
3,24,4,24,0,0.0,Labrador Retriever/Great Dane,0,0
7,72,1,72,0,1.0,Dachshund Mix,0,0
8,11,2,11,1,1.0,Boxer Mix,0,0
10,12,2,12,1,1.0,Labrador Retriever Mix,0,0
11,48,2,48,0,1.0,Shih Tzu/Miniature Poodle,0,0
9,2,0,2,0,1.0,Domestic Medium Hair Mix,0,0
11,24,2,24,0,1.0,Pit Bull Mix,0,1
11,2,0,2,1,1.0,Australian Cattle Dog Mix,0,0
1,6,0,6,0,1.0,Domestic Shorthair Mix,1,0
8,96,0,96,0,1.0,Domestic Shorthair Mix,0,0
2,36,1,36,0,1.0,Domestic Shorthair Mix,0,0
8,24,0,24,0,1.0,Chihuahua Shorthair Mix,0,1
11,2,2,2,0,0.0,Australian Cattle Dog Mix,0,0
9,0,2,0,1,0.0,Domestic Shorthair Mix,0,0
6,2,0,2,1,1.0,Domestic Shorthair Mix,0,0
6,48,0,48,0,1.0,German Shepherd Mix,0,1
12,60,2,60,0,1.0,Domestic Shorthair Mix,0,0
11,24,0,24,1,1.0,Pointer Mix,0,0
10,6,2,6,1,0.0,Domestic Medium Hair Mix,0,0
5,24,2,24,1,1.0,Miniature Poodle Mix,0,0
9,120,1,120,1,1.0,Collie Smooth/Chow Chow,0,0
12,6,2,6,0,0.0,Domestic Shorthair Mix,0,0
4,2,2,2,1,0.0,Domestic Shorthair Mix,0,0
2,6,0,6,0,1.0,Cocker Spaniel Mix,0,0
1,96,1,96,0,1.0,Chihuahua Shorthair Mix,0,1
11,6,0,6,0,1.0,Labrador Retriever Mix,0,0
8,3,2,3,0,0.0,Siamese Mix,0,0
1,12,0,12,1,1.0,Rottweiler/Labrador Retriever,0,0
3,12,0,12,1,1.0,Chihuahua Shorthair Mix,0,1
5,2,0,2,0,1.0,Boxer Mix,0,0
5,0,2,0,2,Unknown,Domestic Shorthair Mix,0,0
1,24,0,24,1,1.0,Chihuahua Shorthair Mix,0,1
9,2,0,2,1,1.0,Domestic Shorthair Mix,0,0
9,9,1,9,0,1.0,Domestic Shorthair Mix,0,0
12,48,2,48,1,1.0,Rat Terrier Mix,0,0
11,4,0,4,0,1.0,German Shepherd/Siberian Husky,0,0
7,0,2,0,0,0.0,Domestic Shorthair Mix,0,0
5,72,2,72,0,0.0,Dachshund,0,0
1,2,0,2,1,1.0,Border Collie/Labrador Retriever,0,0
4,8,2,8,1,0.0,Domestic Shorthair Mix,0,0
8,1,2,1,0,0.0,Domestic Shorthair Mix,0,0
11,4,2,4,1,0.0,Domestic Shorthair Mix,1,0
7,2,0,2,1,0.0,Domestic Shorthair Mix,0,0
5,24,1,24,1,0.0,Pit Bull Mix,0,1
4,4,0,4,0,1.0,Collie Smooth/Labrador Retriever,0,0
2,12,2,12,0,0.0,Domestic Shorthair Mix,0,0
7,3,0,3,1,1.0,Siamese Mix,0,0
7,2,2,2,0,0.0,Domestic Shorthair Mix,0,0
12,4,0,4,1,1.0,Domestic Shorthair Mix,0,0
6,60,0,60,0,1.0,Plott Hound/Rhod Ridgeback,0,0
1,24,1,24,1,1.0,Pit Bull Mix,0,1
7,0,2,0,1,0.0,Domestic Shorthair Mix,0,0
11,2,0,2,1,1.0,Domestic Shorthair Mix,1,0
11,10,0,10,1,1.0,Chihuahua Shorthair Mix,0,1
6,24,2,24,0,1.0,Pointer/Labrador Retriever,0,0
11,10,0,10,1,1.0,Anatol Shepherd/Great Pyrenees,0,0
7,0,2,0,0,0.0,Domestic Shorthair Mix,0,0
6,12,1,12,0,1.0,Anatol Shepherd,0,0
1,7,0,7,1,1.0,Domestic Shorthair Mix,0,0
2,24,0,24,1,1.0,Pit Bull Mix,0,1
1,84,2,84,1,1.0,Great Dane,0,0
7,2,0,2,0,1.0,Domestic Shorthair Mix,0,0
8,144,4,144,0,1.0,Domestic Shorthair Mix,0,0
9,36,2,36,1,0.0,Australian Cattle Dog Mix,0,0
12,3,2,3,1,1.0,Domestic Shorthair Mix,0,0
10,24,0,24,1,1.0,Chinese Sharpei/Australian Cattle Dog,0,0
4,144,1,144,1,0.0,Labrador Retriever Mix,0,0
3,12,0,12,1,1.0,Flat Coat Retriever Mix,1,0
8,36,2,36,0,1.0,Labrador Retriever Mix,0,0
5,1,0,1,1,1.0,Domestic Shorthair Mix,0,0
3,0,2,0,2,Unknown,Labrador Retriever Mix,0,0
11,9,1,9,1,1.0,Rat Terrier Mix,0,0
11,2,0,2,1,1.0,Domestic Longhair Mix,0,0
6,24,4,24,0,1.0,Akita/Pit Bull,0,0
12,84,1,84,0,1.0,American Bulldog Mix,0,0
3,4,2,4,0,1.0,Labrador Retriever Mix,0,0
5,120,0,120,0,1.0,Domestic Shorthair Mix,0,0
2,60,1,60,1,1.0,Chihuahua Shorthair Mix,0,1
3,24,0,24,1,1.0,Pointer/Labrador Retriever,0,0
9,60,0,60,0,1.0,Chihuahua Shorthair Mix,0,1
10,5,0,5,0,1.0,Siamese Mix,0,0
4,12,0,12,0,1.0,Domestic Shorthair Mix,0,0
11,12,2,12,0,0.0,Labrador Retriever,0,0
12,4,2,4,0,1.0,Domestic Medium Hair Mix,1,0
2,24,2,24,1,1.0,Chihuahua Shorthair/Rat Terrier,0,0
4,36,4,36,0,0.0,Rottweiler Mix,0,1
4,0,2,0,0,0.0,Domestic Shorthair,0,0
5,0,2,0,2,Unknown,Domestic Shorthair Mix,0,0
6,0,2,0,1,0.0,Domestic Shorthair Mix,0,0
7,24,2,24,1,1.0,Labrador Retriever,1,0
11,12,0,12,0,1.0,Boxer Mix,0,0
8,0,2,0,0,0.0,Domestic Shorthair Mix,0,0
10,24,0,24,0,1.0,Jack Russell Terrier Mix,0,0
10,9,1,9,0,0.0,Pit Bull/Dogue De Bordeaux,0,0
1,36,0,36,0,1.0,Labrador Retriever/Chow Chow,0,0
6,1,4,1,1,0.0,Domestic Shorthair Mix,0,0
2,24,0,24,0,1.0,Bernese Mountain Dog/Rottweiler,0,0
1,24,2,24,0,1.0,Domestic Shorthair Mix,0,0
7,4,2,4,0,1.0,Plott Hound Mix,0,0
10,36,1,36,0,0.0,English Bulldog,0,0
12,12,2,12,0,1.0,Pit Bull Mix,0,1
9,1,2,1,0,0.0,Domestic Medium Hair Mix,0,0
5,12,0,12,1,1.0,Chihuahua Shorthair Mix,0,1
1,2,2,2,0,1.0,Labrador Retriever Mix,0,0
5,108,1,108,1,1.0,Chihuahua Shorthair,0,0
5,24,0,24,0,1.0,Pit Bull Mix,0,1
11,6,0,6,1,1.0,Pointer Mix,0,0
3,3,0,3,0,1.0,Chihuahua Longhair/Italian Greyhound,0,0
7,1,0,1,0,1.0,Labrador Retriever/Blue Lacy,0,0
11,12,2,12,1,0.0,Yorkshire Terrier Mix,0,0
5,24,0,24,1,1.0,Pit Bull Mix,0,1
3,36,1,36,1,1.0,Labrador Retriever Mix,0,0
10,2,0,2,0,0.0,Siamese Mix,0,0
3,24,1,24,1,1.0,American Staffordshire Terrier Mix,0,0
10,24,1,24,0,1.0,Dachshund/Catahoula,0,0
8,2,0,2,0,1.0,Dachshund Wirehair Mix,0,0
7,144,4,144,1,1.0,Domestic Longhair Mix,0,0
1,24,2,24,0,1.0,Domestic Shorthair Mix,0,0
1,8,4,8,1,0.0,Labrador Retriever Mix,1,0
1,120,4,120,1,0.0,Domestic Shorthair Mix,0,0
7,2,0,2,0,1.0,Domestic Medium Hair Mix,0,0
6,3,0,3,0,1.0,Chihuahua Shorthair Mix,0,1
12,12,1,12,0,1.0,Blue Lacy/Pit Bull,0,0
6,24,2,24,1,0.0,Domestic Shorthair Mix,0,0
11,2,0,2,0,1.0,Domestic Shorthair Mix,0,0
9,3,0,3,1,1.0,Siamese Mix,0,0
3,84,0,84,1,1.0,Miniature Poodle Mix,0,0
3,24,0,24,1,1.0,Dachshund Mix,0,0
10,4,1,4,1,0.0,Boxer Mix,0,0
12,2,0,2,1,1.0,Domestic Shorthair Mix,0,0
9,3,0,3,0,1.0,Domestic Shorthair Mix,0,0
12,24,2,24,1,1.0,Exotic Shorthair Mix,0,0
12,6,0,6,1,1.0,Domestic Shorthair Mix,0,0
4,0,2,0,1,0.0,Domestic Shorthair Mix,0,0
7,3,0,3,1,1.0,Domestic Shorthair Mix,0,0
11,5,0,5,1,1.0,Siamese Mix,0,0
10,2,2,2,0,1.0,Domestic Shorthair Mix,0,0
9,1,2,1,1,0.0,Domestic Shorthair Mix,0,0
11,12,4,12,1,1.0,Pit Bull Mix,0,1
10,1,2,1,0,0.0,Australian Cattle Dog Mix,0,0
11,36,1,36,1,1.0,Chihuahua Shorthair Mix,0,1
6,36,0,36,0,1.0,Labrador Retriever/Chinese Sharpei,1,0
8,72,1,72,0,0.0,Basset Hound,0,0
7,8,0,8,0,0.0,Pit Bull Mix,0,1
9,4,0,4,0,1.0,Domestic Shorthair Mix,0,0
3,36,1,36,0,1.0,Cocker Spaniel Mix,0,0
12,0,1,0,0,0.0,Chihuahua Shorthair Mix,0,1
1,2,1,2,1,1.0,Domestic Shorthair Mix,0,0
10,2,2,2,0,0.0,Australian Cattle Dog Mix,0,0
9,12,4,12,0,0.0,Dachshund/Chihuahua Shorthair,1,0
11,60,1,60,0,1.0,Cocker Spaniel Mix,1,0
12,84,1,84,1,1.0,Blue Lacy/Collie Smooth,0,0
6,2,0,2,1,1.0,Domestic Longhair Mix,0,0
11,36,1,36,0,1.0,Pit Bull Mix,0,1
