,overall_qual,tot_liv_area,exter_qual,kitchen_qual,garage_area,bsmt_qual,year_remod/add,fireplace_qu,full_bath,totrms_abvgrd,heating_qc,sale_type,exterior_1st,neighborhood,1.5Fin,1.5Unf,1Story,2.5Fin,2.5Unf,2Story,SFoyer,SLvl,Flat,Gable,Gambrel,Hip,Mansard,Shed,BrkCmn,BrkFace,NA,None,Stone,BrkTil,CBlock,PConc,Slab,Stone,Wood,N,Y
22,8,2253.0,4,5,575.0,5,2006,4,2,8,5,3,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
23,6,2122.0,3,3,420.0,4,2007,0,2,6,5,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
24,5,2112.0,3,3,572.0,3,1955,0,1,5,3,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
25,6,2765.0,3,3,530.0,3,1961,3,2,6,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
26,5,1564.0,3,3,336.0,3,2009,4,1,5,5,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
27,5,2544.0,3,4,240.0,3,1995,4,2,7,5,1,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
28,5,1991.0,3,3,0.0,3,2006,0,2,9,2,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
29,5,924.0,3,3,576.0,3,2006,1,1,6,5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
30,8,3628.0,4,4,542.0,4,1981,4,2,9,3,1,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
31,8,1517.0,3,4,400.0,4,1950,4,1,7,2,1,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
32,8,2988.0,4,5,481.0,4,1996,4,1,6,5,1,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
33,6,1389.0,3,3,410.0,3,1952,0,1,5,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
34,8,3006.0,4,4,826.0,5,2008,4,2,7,5,1,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
35,6,1142.0,3,3,384.0,4,1958,4,1,5,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
36,5,2196.0,3,3,336.0,3,1977,3,2,6,5,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
37,6,2549.0,3,3,546.0,4,1977,3,2,7,5,1,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
38,7,2158.0,3,3,528.0,3,1973,3,1,6,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
39,5,1410.0,3,3,384.0,4,1994,0,1,5,5,1,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
40,5,2376.0,4,3,276.0,3,1965,0,1,6,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
41,10,3462.0,5,5,850.0,5,2006,4,2,7,5,3,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
42,5,2207.0,3,4,602.0,4,1978,3,1,4,5,1,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
43,5,1795.0,3,3,352.0,3,1954,0,2,7,5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
44,5,1946.0,3,3,384.0,3,1965,0,1,5,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
45,8,2083.0,3,3,786.0,3,1950,4,1,9,3,1,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
46,5,2432.0,3,3,660.0,3,1960,0,2,6,5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
47,7,1502.0,3,3,270.0,4,2000,4,1,6,3,1,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
48,5,1707.0,3,3,280.0,3,1954,0,1,6,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
49,7,1626.0,4,4,474.0,4,2004,0,2,6,5,1,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
50,6,1877.0,4,4,440.0,4,2000,0,2,4,5,1,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
51,4,2603.0,3,4,576.0,3,1950,3,2,7,3,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
52,7,4043.0,3,4,564.0,4,1978,3,3,12,3,1,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
53,4,1268.0,3,3,0.0,3,1970,0,1,5,5,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
54,6,1575.0,3,4,400.0,3,1951,4,1,5,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
55,6,1723.0,3,3,299.0,3,1969,0,1,7,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
56,7,1610.0,4,4,480.0,4,2005,0,2,4,5,1,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
57,5,1422.0,3,3,240.0,3,1975,0,1,5,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
58,6,2080.0,3,3,293.0,3,1953,0,1,6,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
59,6,1774.0,3,3,386.0,4,1996,3,2,7,4,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
60,8,2794.0,4,4,671.0,4,2007,4,2,9,5,1,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
61,8,2674.0,4,5,550.0,4,2007,4,2,11,5,3,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
62,7,2575.0,4,3,690.0,4,2001,3,1,4,4,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
63,5,2100.0,2,5,225.0,3,1950,4,1,6,4,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
64,5,2037.0,3,4,350.0,3,1955,0,1,6,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
65,5,1326.0,3,3,0.0,4,2007,0,1,6,5,3,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
66,7,1344.0,3,3,216.0,4,1995,4,1,5,3,1,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
67,7,1708.0,4,4,380.0,4,2004,0,2,7,5,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
68,9,1802.0,5,5,843.0,5,2006,4,2,7,5,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
69,7,1522.0,4,4,440.0,4,2005,4,2,6,5,1,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
70,7,2854.0,4,4,572.0,4,2010,3,1,5,5,2,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
71,7,2732.0,4,4,786.0,5,1997,0,3,7,5,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
72,6,1849.0,3,3,539.0,3,1959,2,1,6,5,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
73,7,1709.0,4,4,380.0,4,2004,0,2,7,5,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
74,7,1616.0,4,4,834.0,4,2005,0,2,7,5,1,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
75,6,768.0,4,3,440.0,3,1950,0,1,4,3,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
76,5,872.0,3,2,322.0,3,1950,4,1,5,2,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
77,4,520.0,3,2,240.0,3,1950,0,1,4,2,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
78,5,2717.0,3,3,480.0,3,1960,0,2,12,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
79,5,1601.0,4,3,0.0,3,2003,0,2,6,5,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
80,5,1400.0,3,3,480.0,3,1950,0,1,6,5,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
81,9,4138.0,5,5,1166.0,5,2009,4,2,9,5,3,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
82,5,1416.0,3,3,720.0,3,1950,4,1,7,4,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
83,4,1104.0,3,3,576.0,3,2006,0,1,5,4,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
84,6,2053.0,3,3,392.0,5,1997,0,2,4,5,1,3,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
85,9,2081.0,5,4,575.0,5,2006,4,2,6,5,3,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
86,7,2033.0,4,4,555.0,4,2003,0,2,5,5,1,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
87,5,1305.0,3,3,252.0,4,2000,0,1,4,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
88,5,2036.0,3,3,502.0,4,1969,2,2,6,3,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
89,7,1480.0,4,4,480.0,4,2004,0,2,4,5,2,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
90,6,2255.0,3,3,516.0,3,1969,0,2,7,4,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
91,7,2754.0,4,4,608.0,4,2002,3,2,7,5,1,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
92,7,2172.0,4,4,495.0,4,1994,0,2,6,5,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
93,5,1535.0,3,3,400.0,0,1979,0,2,8,3,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
94,5,2166.0,3,3,484.0,3,1964,4,1,6,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
95,8,1211.0,4,4,484.0,4,2007,0,2,5,5,3,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
96,6,1726.0,3,3,480.0,3,1960,3,1,6,5,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
97,5,1718.0,3,4,396.0,3,1956,4,1,6,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
98,9,2714.0,5,5,556.0,5,2005,4,2,6,5,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
99,8,3253.0,4,4,725.0,4,1995,5,2,9,5,1,3,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
100,9,3221.0,5,5,670.0,5,2004,4,2,7,5,1,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
101,4,953.0,3,3,0.0,3,2002,0,1,5,5,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
102,8,3097.0,5,5,550.0,4,2007,4,3,6,5,1,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
103,3,797.0,3,3,0.0,2,1950,0,1,5,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
104,6,2651.0,3,4,560.0,5,2002,3,2,7,5,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
105,5,2155.0,3,3,501.0,4,1972,0,2,6,5,1,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
106,7,2023.0,4,4,490.0,4,2000,0,2,6,5,1,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
107,6,3240.0,3,4,216.0,3,1950,4,2,10,3,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
108,6,2500.0,3,5,550.0,4,1957,4,1,4,5,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
109,7,1626.0,4,4,474.0,4,2003,0,2,6,5,1,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
110,5,1979.0,3,3,400.0,3,1950,4,1,7,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
111,5,1422.0,3,3,286.0,3,1978,3,1,6,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
112,5,1573.0,3,3,360.0,3,1992,4,2,8,3,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
113,6,1116.0,3,3,440.0,3,1962,0,1,5,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
114,2,660.0,3,2,0.0,0,1950,0,1,5,2,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
115,6,2539.0,3,3,479.0,3,1998,3,2,7,4,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
116,5,1642.0,3,2,528.0,3,1959,4,1,6,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
117,9,2665.0,4,5,495.0,4,2000,3,2,5,5,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
118,5,2709.0,3,3,626.0,3,1960,3,2,7,4,1,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
119,6,2585.0,3,4,470.0,4,1997,0,2,7,5,1,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
120,5,1286.0,3,3,0.0,3,1969,4,1,6,5,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
121,5,1839.0,3,3,304.0,3,1956,0,1,6,3,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
122,5,1815.0,3,3,572.0,3,1961,0,1,5,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
123,5,1028.0,3,3,360.0,3,1950,4,1,5,4,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
124,5,1596.0,3,3,240.0,3,1950,0,1,5,3,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
125,9,3354.0,4,4,864.0,4,1977,4,2,9,3,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
126,8,1414.0,4,4,403.0,5,2004,4,2,6,5,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
127,7,1609.0,3,4,579.0,3,1990,4,1,8,5,1,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
128,6,2225.0,3,3,400.0,3,1998,3,2,6,5,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
129,5,1913.0,2,3,288.0,4,1967,1,1,7,5,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
130,7,1433.0,3,3,440.0,4,1977,0,2,4,2,1,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
131,5,1352.0,3,4,720.0,3,2006,0,2,7,5,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
132,6,1845.0,3,3,440.0,4,1977,3,2,6,3,1,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
133,8,3338.0,4,4,473.0,4,1993,4,1,6,5,2,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
134,5,1332.0,3,3,0.0,3,1950,0,1,5,3,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
135,6,1445.0,3,3,264.0,3,1973,0,1,5,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
136,5,1020.0,3,3,0.0,3,1996,0,1,6,4,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
137,8,1578.0,4,4,627.0,4,2006,4,2,6,5,1,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
138,10,3390.0,5,5,758.0,5,2006,5,3,10,5,3,3,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
139,6,1560.0,4,4,0.0,3,2009,0,1,7,5,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
140,4,984.0,3,3,400.0,3,1951,0,1,4,5,1,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
141,6,2621.0,3,3,431.0,4,2000,3,2,9,5,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
142,5,1699.0,3,3,260.0,3,2010,0,1,6,5,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
143,5,2126.0,3,3,366.0,3,1998,0,1,5,3,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
144,8,2450.0,4,4,852.0,5,2010,4,1,6,5,3,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
145,6,1792.0,3,3,560.0,3,1950,4,1,6,3,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
146,7,1922.0,4,4,672.0,0,2003,5,3,7,5,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
147,6,2238.0,3,4,576.0,4,1981,3,2,7,3,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
148,7,2683.0,4,4,486.0,4,2000,3,2,7,5,1,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
149,4,1962.0,3,3,572.0,3,1950,3,1,9,5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
